Hello
resnet
2018-09-07 21:33:43.829581: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-09-07 21:33:43.829662: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-09-07 21:33:43.829684: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-09-07 21:33:43.829697: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-09-07 21:33:43.829711: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-09-07 21:33:44.126887: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.582
pciBusID 0000:03:00.0
Total memory: 10.92GiB
Free memory: 10.76GiB
2018-09-07 21:33:44.126960: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2018-09-07 21:34:00.150732: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_810: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150747: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_809: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150763: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_808: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150778: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_807: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150793: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_806: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150808: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_805: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150824: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_804: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150839: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_803: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150854: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_802: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150877: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_801: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150904: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_800: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150923: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_799: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150938: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_798: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150954: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_797: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150969: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_796: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150984: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_795: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.150999: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_794: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151015: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_793: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151031: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_792: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151046: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_791: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151061: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_790: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151076: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_789: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151091: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_788: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151106: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_787: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151121: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_786: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151136: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_785: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151152: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_784: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151167: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_783: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151182: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_782: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151197: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_781: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151214: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_780: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151240: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_779: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151257: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_778: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151272: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_777: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151287: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_776: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151302: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_775: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151318: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_774: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151342: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_773: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151359: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_772: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151374: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_771: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151389: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_770: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151405: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_769: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151420: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_768: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151435: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_767: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151451: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_766: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151466: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_765: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151481: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_764: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151496: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_763: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151511: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_762: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151526: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_761: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151541: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_760: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151556: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_759: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151571: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_758: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151586: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_757: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151601: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_756: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151616: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_755: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151631: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_754: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151646: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_753: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151661: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_752: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151677: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_751: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151692: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_750: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151707: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_749: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151722: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_748: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151743: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_747: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151760: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_746: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151775: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_745: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151790: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_744: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151806: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_743: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151821: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_742: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151836: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_741: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151852: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_740: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151873: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_739: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151889: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_738: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151904: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_737: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151919: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_736: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151934: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_735: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151950: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_734: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151965: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_733: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151980: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_732: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.151995: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_731: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152010: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_730: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152025: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_729: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152041: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_728: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152056: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_727: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152071: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_726: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152086: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_725: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152101: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_724: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152116: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_723: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152131: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_722: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152146: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_721: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152170: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_720: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152187: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_719: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152203: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_718: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152218: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_717: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152233: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_716: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152249: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_715: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152264: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_714: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152288: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_713: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152313: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_712: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152337: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_711: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152353: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_710: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152368: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_709: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152384: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_708: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152399: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_707: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152414: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_706: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152430: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_705: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152445: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_704: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152459: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_703: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152474: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_702: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152489: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_701: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152504: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_700: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152521: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_699: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152536: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_698: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152551: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_697: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152566: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_696: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152581: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_695: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152596: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_694: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152619: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_693: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152635: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_692: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152650: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_691: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152665: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_690: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152680: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_689: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152695: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_688: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152710: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_687: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152725: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_686: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152740: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_685: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152755: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_684: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152770: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_683: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152785: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_682: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152800: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_681: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152815: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_680: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152830: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_679: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152845: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_678: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152865: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_677: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152882: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_676: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152897: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_675: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152912: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_674: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152927: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_673: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152942: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_672: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152957: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_671: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152972: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_670: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.152987: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_669: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.153002: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_668: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
2018-09-07 21:34:00.153017: I tensorflow/core/common_runtime/simple_placer.cc:872] save/RestoreV2_667: (RestoreV2)/job:localhost/replica:0/task:0/cpu:0
